,make,model,trim,type,price,mileage,src,year,image-type
118,BMW,2 SERIES,M235i,convertible,29400,40990,cdnblob.carvana.io/2000266018/post-large/normalized/cropped/2000266018-edc-02.jpg?v=2019.3.15_6.57.27,2016,original
119,FORD,MUSTANG,EcoBoost,convertible,23500,28762,cdnblob.carvana.io/2000255681/post-large/normalized/cropped/2000255681-edc-02.jpg?v=2019.2.23_1.23.9,2018,original
120,BMW,3 SERIES,328i,convertible,15300,84516,cdnblob.carvana.io/2000256974/post-large/normalized/cropped/2000256974-edc-02.jpg?v=2019.3.20_6.49.12,2012,original
121,CHEVROLET,CAMARO,LT,convertible,17700,44611,cdnblob.carvana.io/2000251454/post-large/normalized/cropped/2000251454-edc-02.jpg?v=2019.2.22_6.20.18,2015,original
122,MINI,CONVERTIBLE,Cooper S,convertible,27600,6525,cdnblob.carvana.io/2000244063/post-large/normalized/cropped/2000244063-edc-02.jpg?v=2019.3.8_15.30.20,2017,original
123,CHEVROLET,CAMARO,SS,convertible,23600,25653,cdnblob.carvana.io/2000246383/post-large/normalized/cropped/2000246383-edc-02.jpg?v=2019.3.9_4.11.54,2012,original
124,CHEVROLET,CAMARO,LT,convertible,24900,17759,cdnblob.carvana.io/2000235539/post-large/normalized/cropped/2000235539-edc-02.jpg?v=2019.4.2_16.0.44,2018,original
125,PORSCHE,BOXSTER,Boxster,convertible,28100,29565,cdnblob.carvana.io/2000236464/post-large/normalized/cropped/2000236464-edc-02.jpg?v=2019.2.5_12.37.15,2010,original
126,CHEVROLET,CAMARO,LT,convertible,24300,15913,cdnblob.carvana.io/2000234341/post-large/normalized/cropped/2000234341-edc-02.jpg?v=2019.2.5_7.56.48,2018,original
127,VOLKSWAGEN,BEETLE,TDI,convertible,13800,61340,cdnblob.carvana.io/2000206751/post-large/normalized/cropped/2000206751-edc-02.jpg?v=2019.3.26_21.54.19,2013,original
128,BMW,2 SERIES,228i,convertible,24500,37358,cdnblob.carvana.io/2000219103/post-large/normalized/cropped/2000219103-edc-02.jpg?v=2018.12.28_16.6.59,2016,original
129,VOLKSWAGEN,BEETLE,TDI,convertible,15900,25017,cdnblob.carvana.io/2000178567/post-large/normalized/cropped/2000178567-edc-02.jpg?v=2019.2.3_2.54.49,2014,original
130,FORD,MUSTANG,GT Premium,convertible,24800,39727,cdnblob.carvana.io/2000150788/post-large/normalized/cropped/2000150788-edc-02.jpg?v=2019.2.3_3.7.36,2016,original
131,FORD,MUSTANG,EcoBoost Premium,convertible,18900,42907,cdnblob.carvana.io/2000251428/post-large/normalized/cropped/2000251428-edc-02.jpg?v=2019.2.22_15.14.50,2017,original
132,VOLKSWAGEN,BEETLE,1.8T Denim,convertible,16900,29151,cdnblob.carvana.io/2000203796/post-large/normalized/cropped/2000203796-edc-02.jpg?v=2019.2.2_23.18.16,2016,original
133,LEXUS,IS,IS 250C,convertible,27500,31057,cdnblob.carvana.io/2000281482/post-large/normalized/cropped/2000281482-edc-02.jpg?v=2019.4.3_3.45.5,2014,original
134,JAGUAR,XK,XK,convertible,28600,48578,cdnblob.carvana.io/2000254989/post-large/normalized/cropped/2000254989-edc-02.jpg?v=2019.3.8_18.34.41,2012,original
135,FORD,MUSTANG,GT,convertible,27200,15471,cdnblob.carvana.io/2000236065/post-large/normalized/cropped/2000236065-edc-02.jpg?v=2019.1.29_4.32.46,2014,original
136,CHEVROLET,CAMARO,LT,convertible,25200,11318,cdnblob.carvana.io/2000284266/post-large/normalized/cropped/2000284266-edc-02.jpg?v=2019.4.10_7.8.9,2017,original
137,FIAT,124 SPIDER,Classica,convertible,25200,191,cdnblob.carvana.io/2000283952/post-large/normalized/cropped/2000283952-edc-02.jpg?v=2019.4.8_18.31.9,2018,original
138,MAZDA,MX-5 MIATA,Club,convertible,21300,24275,cdnblob.carvana.io/2000277880/post-large/normalized/cropped/2000277880-edc-02.jpg?v=2019.3.29_1.3.24,2016,original
139,VOLKSWAGEN,BEETLE,2.5L,convertible,13500,21641,cdnblob.carvana.io/2000261446/post-large/normalized/cropped/2000261446-edc-02.jpg?v=2019.4.15_13.9.53,2013,original
140,FORD,MUSTANG,V6,convertible,18300,31773,cdnblob.carvana.io/2000259922/post-large/normalized/cropped/2000259922-edc-02.jpg?v=2019.3.11_19.30.14,2015,original
141,BMW,4 SERIES,428i,convertible,29700,46167,cdnblob.carvana.io/2000248164/post-large/normalized/cropped/2000248164-edc-02.jpg?v=2019.4.11_22.32.36,2016,original
142,CHEVROLET,CAMARO,LT,convertible,23300,22634,cdnblob.carvana.io/2000235470/post-large/normalized/cropped/2000235470-edc-02.jpg?v=2019.2.1_9.20.51,2018,original
143,VOLKSWAGEN,EOS,Komfort,convertible,16500,34692,cdnblob.carvana.io/2000221905/post-large/normalized/cropped/2000221905-edc-02.jpg?v=2019.3.4_23.18.43,2013,original
144,MAZDA,MX-5 MIATA,Grand Touring,convertible,21700,23866,cdnblob.carvana.io/2000280062/post-large/normalized/cropped/2000280062-edc-02.jpg?v=2019.4.3_11.31.21,2016,original
145,VOLKSWAGEN,BEETLE,1.8T S,convertible,17400,20313,cdnblob.carvana.io/2000274749/post-large/normalized/cropped/2000274749-edc-02.jpg?v=2019.4.11_15.38.12,2016,original
146,FIAT,124 SPIDER,Abarth,convertible,22800,8232,cdnblob.carvana.io/2000251240/post-large/normalized/cropped/2000251240-edc-02.jpg?v=2019.2.16_2.51.16,2017,original
147,FORD,MUSTANG,EcoBoost Premium,convertible,22400,35719,cdnblob.carvana.io/2000283107/post-large/normalized/cropped/2000283107-edc-02.jpg?v=2019.4.9_7.10.22,2018,original
148,FORD,MUSTANG,EcoBoost,convertible,27800,3481,cdnblob.carvana.io/2000285789/post-large/normalized/cropped/2000285789-edc-02.jpg?v=2019.4.5_2.25.0,2018,original
149,FORD,MUSTANG,EcoBoost,convertible,22700,34245,cdnblob.carvana.io/2000282980/post-large/normalized/cropped/2000282980-edc-02.jpg?v=2019.4.4_23.22.39,2018,original
150,MINI,CONVERTIBLE,Cooper,convertible,22300,13744,cdnblob.carvana.io/2000281769/post-large/normalized/cropped/2000281769-edc-02.jpg?v=2019.3.30_18.15.30,2016,original
151,ALFA ROMEO,4C SPIDER,4C Spider,convertible,47700,10094,cdnblob.carvana.io/2000280435/post-large/normalized/cropped/2000280435-edc-02.jpg?v=2019.4.9_0.56.51,2016,original
152,FORD,MUSTANG,GT Premium,convertible,26000,39016,cdnblob.carvana.io/2000275902/post-large/normalized/cropped/2000275902-edc-02.jpg?v=2019.4.12_8.1.17,2016,original
153,FORD,MUSTANG,EcoBoost Premium,convertible,20400,38156,cdnblob.carvana.io/2000276819/post-large/normalized/cropped/2000276819-edc-02.jpg?v=2019.3.29_5.42.34,2017,original
154,CHEVROLET,CAMARO,SS,convertible,32100,13158,cdnblob.carvana.io/2000268797/post-large/normalized/cropped/2000268797-edc-02.jpg?v=2019.3.29_22.20.39,2018,original
155,BMW,4 SERIES,428i,convertible,31400,25109,cdnblob.carvana.io/2000275017/post-large/normalized/cropped/2000275017-edc-02.jpg?v=2019.3.27_19.3.31,2016,original
156,BMW,Z4,SDrive28i,convertible,34200,15509,cdnblob.carvana.io/2000269479/post-large/normalized/cropped/2000269479-edc-02.jpg?v=2019.3.15_6.57.40,2016,original
157,MINI,CONVERTIBLE,Cooper,convertible,26900,5320,cdnblob.carvana.io/2000271410/post-large/normalized/cropped/2000271410-edc-02.jpg?v=2019.3.16_8.21.35,2018,original
158,BMW,M6,M6,convertible,50200,33719,cdnblob.carvana.io/2000252729/post-large/normalized/cropped/2000252729-edc-02.jpg?v=2019.3.29_18.18.53,2015,original
159,JAGUAR,F-TYPE,F-TYPE,convertible,35700,15501,cdnblob.carvana.io/2000258396/post-large/normalized/cropped/2000258396-edc-02.jpg?v=2019.2.26_18.26.53,2014,original
160,MINI,ROADSTER,John Cooper Works,convertible,21900,49169,cdnblob.carvana.io/2000260476/post-large/normalized/cropped/2000260476-edc-02.jpg?v=2019.2.27_3.0.44,2013,original
161,BMW,2 SERIES,M235i,convertible,30800,25484,cdnblob.carvana.io/2000239989/post-large/normalized/cropped/2000239989-edc-02.jpg?v=2019.2.8_21.19.46,2016,original
162,VOLKSWAGEN,BEETLE,TDI,convertible,17300,18851,cdnblob.carvana.io/2000200243/post-large/normalized/cropped/2000200243-edc-02.jpg?v=2019.2.3_3.21.48,2014,original
163,BMW,1 SERIES,135i,convertible,17600,36203,cdnblob.carvana.io/2000194762/post-large/normalized/cropped/2000194762-edc-02.jpg?v=2019.3.14_0.4.56,2009,original
